scenario,n_runs,num_nodes_mean,num_nodes_std,elevated_count_mean,elevated_count_std,elevated_rate_mean,elevated_rate_std,coordinated_count_mean,coordinated_count_std,time_to_first_elevated_mean,time_to_first_elevated_std,time_to_majority_elevated_mean,time_to_majority_elevated_std,time_to_first_coordinated_mean,time_to_first_coordinated_std,total_bytes_mean,total_bytes_std,bytes_per_node_mean,bytes_per_node_std,total_merges_mean,total_merges_std,merges_per_node_mean,merges_per_node_std,mean_final_sat_mean,mean_final_sat_std,max_final_sat_mean,max_final_sat_std,seed_mean,seed_std,seed_idx_mean,seed_idx_std,approach
overlap_identical_event,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12393888.0,7837753.923012383,387309.0,244929.81009413698,11917.2,7536.301849050366,372.4125,235.50943278282395,0.048828125,0.0,0.048828125,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
overlap_identical_event,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97185524394118,0.15486211805580527,7.418130197050426,0.5062131248408756,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
overlap_identical_event,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,95337.6,60290.41479240293,2979.3,1884.0754622625916,11917.2,7536.301849050366,372.4125,235.50943278282395,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
overlap_identical_event,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,1.7833333333333334,0.6348665651580309,1.4333333333333333,0.6155395104206466,190675.2,120580.82958480586,5958.6,3768.150924525183,11917.2,7536.301849050366,372.4125,235.50943278282395,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
overlap_moving_cluster,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16526310.666666666,10443532.20905741,516447.2083333333,326360.38153304404,15890.683333333332,10041.857893324433,496.58385416666664,313.80805916638855,0.1953125,0.0,0.1953125,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
overlap_moving_cluster,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04288210564119107,0.0009723046508080161,0.14777653695416604,8.326672684688674e-17,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
overlap_moving_cluster,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,127125.46666666666,80334.86314659547,3972.670833333333,2510.4644733311084,15890.683333333332,10041.857893324433,496.58385416666664,313.80805916638855,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
overlap_moving_cluster,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,1.0166666666666666,0.1280190957978102,5.266666666666667,4.798842453018108,1.6833333333333333,0.7414325473178404,254250.93333333332,160669.72629319094,7945.341666666666,5020.928946662217,15890.683333333332,10041.857893324433,496.58385416666664,313.80805916638855,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
overlap_rebroadcast_storm,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12393888.0,7837753.923012383,387309.0,244929.81009413698,11917.2,7536.301849050366,372.4125,235.50943278282395,0.048828125,0.0,0.048828125,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
overlap_rebroadcast_storm,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9937800985664467,0.1485198140717792,5.176381214496119,0.5022634217979206,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
overlap_rebroadcast_storm,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,95337.6,60290.41479240293,2979.3,1884.0754622625916,11917.2,7536.301849050366,372.4125,235.50943278282395,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
overlap_rebroadcast_storm,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,3.3,2.431049156228643,10.9,11.166467659918242,4.1,3.0859898466024385,190675.2,120580.82958480586,5958.6,3768.150924525183,11917.2,7536.301849050366,372.4125,235.50943278282395,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
breadth_weak_distributed,60,32.0,0.0,3.316666666666667,5.900541406421009,0.10364583333333334,0.18439191895065654,2.85,5.418563770348495,21.75,4.7526308503817125,37.0,0,25.25,6.3629788621368215,16529534.666666666,10442813.941411171,516547.9583333333,326337.9356690991,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,1.5380859375,0.0,1.5380859375,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
breadth_weak_distributed,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.838976787394842e-10,6.203854594147708e-25,7.838976787394844e-10,6.203854594147708e-25,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
breadth_weak_distributed,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,127150.26666666666,80329.33801085518,3973.445833333333,2510.2918128392243,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
breadth_weak_distributed,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,1.0333333333333334,0.17950549357115,2.05,0.9205976319760979,1.5,0.7416198487095663,254300.53333333333,160658.67602171036,7946.891666666666,5020.583625678449,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
breadth_gradient,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,5.533333333333333,0.9213516640723508,7.883333333333334,4.274309560879068,20.0,0.0,16503968.0,10427204.011530096,515749.0,325850.1253603155,15869.2,10026.157703394323,495.9125,313.3174282310726,99.98602549235027,0.015819111032414814,99.991455078125,0.013241487707741683,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
breadth_gradient,60,32.0,0.0,13.0,0.0,0.40625,0.0,0.0,0.0,8.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.62499997839382,2.1316282072803006e-14,49.99999996472465,3.552713678800501e-14,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
breadth_gradient,60,32.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,126953.6,80209.26162715458,3967.3,2506.539425848581,15869.2,10026.157703394323,495.9125,313.3174282310726,50.0,0.0,50.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
breadth_gradient,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,0.23333333333333334,0.4229525846816504,0.7833333333333333,0.4119735698102753,0.4166666666666667,0.49300664859163473,253907.2,160418.52325430917,7934.6,5013.078851697162,15869.2,10026.157703394323,495.9125,313.3174282310726,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
breadth_vs_benign_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,6.016666666666667,1.5544738302360985,8.366666666666667,4.743299367411768,20.0,0.0,16523312.0,10423999.170992037,516353.5,325749.97409350117,15887.8,10023.07612595388,496.49375,313.22112893605873,99.98703002929688,0.018682931781292416,99.99186197916667,0.013858550102479161,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
breadth_vs_benign_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.057231855344813,2.4868995751603507e-14,30.057231855344803,2.1316282072803006e-14,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
breadth_vs_benign_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,127102.4,80184.60900763104,3971.95,2505.76903148847,15887.8,10023.07612595388,496.49375,313.22112893605873,40.0,0.0,40.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
breadth_vs_benign_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,0.36666666666666664,0.48189440982669857,0.9166666666666666,0.2763853991962836,1.0,0.0,254204.8,160369.21801526207,7943.9,5011.53806297694,15887.8,10023.07612595388,496.49375,313.22112893605873,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
shift_change_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,8.416666666666666,4.352362066229733,11.85,6.1286893650546,20.016666666666666,0.12801909579781004,16501021.333333334,10423910.706380058,515656.9166666667,325747.2095743768,15866.366666666667,10022.991063826983,495.82395833333334,313.2184707445932,99.95618184407552,0.031300473760917345,99.964599609375,0.028340299722275145,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
shift_change_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,41.95,0.21794494717703355,42.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.01542740271759,0.1471540767462618,17.26681409293637,0.4520761423551671,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
shift_change_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,126930.93333333333,80183.92851061586,3966.5916666666667,2505.7477659567458,15866.366666666667,10022.991063826983,495.82395833333334,313.2184707445932,80.0,0.0,80.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
shift_change_bustle,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,0.43333333333333335,0.49553562491061665,1.4333333333333333,0.49553562491061676,1.2333333333333334,0.4229525846816503,253861.86666666667,160367.85702123173,7933.183333333333,5011.4955319134915,15866.366666666667,10022.991063826983,495.82395833333334,313.2184707445932,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
partition_heal,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,14.833333333333334,4.5940783140424974,19.8,2.343786110832926,20.5,0.9036961141150639,16438240.0,10415586.3565895,513695.0,325487.07364342187,15806.0,10014.986881336057,493.9375,312.9683400417518,94.26761627197266,0.7315153157338677,94.57763671875,0.5075679092197278,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
partition_heal,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999992944934,3.552713678800501e-15,9.999999992944932,1.0658141036401503e-14,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
partition_heal,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,126448.0,80119.89505068846,3951.5,2503.7467203340143,15806.0,10014.986881336057,493.9375,312.9683400417518,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
partition_heal,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,1.8,0.6782329983125266,1.5,0.6191391873668903,252896.0,160239.79010137692,7903.0,5007.493440668029,15806.0,10014.986881336057,493.9375,312.9683400417518,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
corridor_bottleneck,60,32.0,0.0,24.2,6.415605972938172,0.75625,0.20048768665431788,22.9,7.896623751114565,22.6,5.562373594069351,28.285714285714285,5.741601378932347,43.233333333333334,37.479935372883915,16529534.666666666,10442813.941411171,516547.9583333333,326337.9356690991,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,30.984751383463543,1.1991895467553562,32.052001953125,0.06902821629174082,71301.5,789.9805377349495,9.5,5.766281297335398,gm_cap_aware
corridor_bottleneck,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499999991181165,1.3322676295501878e-15,9.999999992944932,1.0658141036401503e-14,71301.5,789.9805377349495,9.5,5.766281297335398,ewma_local
corridor_bottleneck,60,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,127150.26666666666,80329.33801085518,3973.445833333333,2510.2918128392243,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,10.0,0.0,10.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_max
corridor_bottleneck,60,32.0,0.0,32.0,0.0,1.0,0.0,32.0,0.0,1.1833333333333333,0.3869395588747968,9.333333333333334,9.561496860963882,2.316666666666667,1.0245595259535782,254300.53333333333,160658.67602171036,7946.891666666666,5020.583625678449,15893.783333333333,10041.167251356897,496.68072916666665,313.78647660490304,100.0,0.0,100.0,0.0,71301.5,789.9805377349495,9.5,5.766281297335398,scalar_mean
