scenario,approach,num_nodes,num_seeds,time_to_first_local_suspicion_mean,time_to_first_local_suspicion_std,time_to_first_local_suspicion_min,time_to_first_local_suspicion_max,time_to_median_local_suspicion_mean,time_to_median_local_suspicion_std,time_to_median_local_suspicion_min,time_to_median_local_suspicion_max,time_to_first_regional_coord_mean,time_to_first_regional_coord_std,time_to_first_regional_coord_min,time_to_first_regional_coord_max,time_to_fleet_awareness_mean,time_to_fleet_awareness_std,time_to_fleet_awareness_min,time_to_fleet_awareness_max,false_escalation_count_mean,false_escalation_count_std,false_escalation_count_min,false_escalation_count_max,true_coord_hits_mean,true_coord_hits_std,true_coord_hits_min,true_coord_hits_max,missed_coord_attacks_mean,missed_coord_attacks_std,missed_coord_attacks_min,missed_coord_attacks_max,stale_pressure_events_mean,stale_pressure_events_std,stale_pressure_events_min,stale_pressure_events_max,total_bytes_mean,total_bytes_std,total_bytes_min,total_bytes_max,total_merges_mean,total_merges_std,total_merges_min,total_merges_max,bytes_per_node_mean,bytes_per_node_std,bytes_per_node_min,bytes_per_node_max,max_saturation_pct_mean,max_saturation_pct_std,max_saturation_pct_min,max_saturation_pct_max,steps_in_harmful_saturation_mean,steps_in_harmful_saturation_std,steps_in_harmful_saturation_min,steps_in_harmful_saturation_max,final_saturation_variance_mean,final_saturation_variance_std,final_saturation_variance_min,final_saturation_variance_max,degradation_under_malicious_mean,degradation_under_malicious_std,degradation_under_malicious_min,degradation_under_malicious_max,profile
A_benign,ghost_meadow,12,5,27.6,0.4898979485566356,27,28,28.6,0.4898979485566356,28,29,140.2,3.3105890714493698,136,146,28.6,0.4898979485566356,28,29,12.0,0.0,12,12,0.0,0.0,0,0,0.0,0.0,0,0,184.8,7.730459236035075,177,198,8702096.0,33678.019894287136,8647600,8746400,8367.4,32.38271143681455,8315,8410,725174.6666666667,2806.5016578572395,720633.3333333334,728866.6666666666,73.10139973958334,0.5443864544435798,72.08251953125,73.62467447916667,0.0,0.0,0,0,0.09776320722368029,0.06619220852358776,0.03013345930311415,0.22174169619878134,0.0,0.0,0.0,0.0,micro_4096
A_benign,local_only,12,5,61.8,2.039607805437114,58,64,69.2,0.7483314773547882,68,70,170.4,4.029888335921977,165,177,69.2,0.7483314773547882,68,70,12.0,0.0,12,12,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,70.88333333333334,0.49933288829530664,70.28333333333335,71.48333333333333,0.0,0.0,0,0,4.141666666666667,1.530913942715267,2.5497222222222216,6.640000000000004,0.0,0.0,0.0,0.0,micro_4096
B_coordinated,ghost_meadow,12,5,28.6,0.4898979485566356,28,29,30.0,0.6324555320336759,29,31,138.8,2.85657137141714,135,143,30.0,0.6324555320336759,29,31,0.0,0.0,0,0,12.0,0.0,12,12,0.0,0.0,0,0,175.4,4.2708313008125245,170,182,8721648.0,30338.06744009908,8674640,8756800,8386.2,29.17121869240296,8341,8420,726804.0000000001,2528.1722866749474,722886.6666666666,729733.3333333334,74.41324869791667,0.26021504544432217,73.974609375,74.652099609375,0.0,0.0,0,0,0.034920043415493436,0.028109304707613778,0.004718701044718425,0.08591347270541723,0.0,0.0,0.0,0.0,micro_4096
B_coordinated,local_only,12,5,62.2,1.4696938456699067,61,65,68.6,0.8,68,70,168.4,1.4966629547095764,166,170,68.6,0.8,68,70,0.0,0.0,0,0,12.0,0.0,12,12,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,72.78,0.2646591098837289,72.33333333333333,73.06666666666668,0.0,0.0,0,0,3.615611111111113,1.7117621182228329,1.2430555555555571,6.482222222222227,0.0,0.0,0.0,0.0,micro_4096
C_single_poison,ghost_meadow,12,5,29.6,1.3564659966250536,28,31,30.4,1.854723699099141,28,33,139.2,0.9797958971132712,138,140,30.4,1.854723699099141,28,33,11.0,0.0,11,11,0.0,0.0,0,0,0.0,0.0,0,0,171.2,5.418486873657626,162,176,7700784.0,16677.008844514054,7681440,7726680,7402.8,18.988417522268676,7378,7436,641732.0,1389.7507370428493,640120.0,643890.0,73.6190518465909,0.3708382648361241,73.20667613636364,74.12331321022727,0.0,0.0,0,0,0.05267277236812371,0.03273898081657542,0.00759589770608697,0.08474696766246449,0.0,0.0,0.0,0.0,micro_4096
C_single_poison,local_only,12,5,63.0,1.6733200530681511,60,65,68.8,1.5999999999999999,66,71,173.6,2.416609194718914,171,177,68.8,1.5999999999999999,66,71,11.0,0.0,11,11,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,71.36,0.7034648604709043,70.41818181818182,72.56363636363635,0.0,0.0,0,0,2.6087933884297523,1.2319947842498444,1.0062809917355366,4.10512396694215,0.0,0.0,0.0,0.0,micro_4096
A_benign,ghost_meadow,12,5,74.4,0.8,73,75,75.6,0.4898979485566356,75,76,,,,,75.6,0.4898979485566356,75,76,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,198.0,2.756809750418044,195,203,68679619.2,265797.29547337384,68249520,69029280,8367.4,32.38271143681455,8315,8410,5723301.6,22149.774622781155,5687460.0,5752440.0,43.57432047526042,0.35452575512987783,43.009185791015625,43.95726521809896,0.0,0.0,0,0,0.04670532265057166,0.03934836259529892,0.002589594158861372,0.11932745110243559,0.0,0.0,0.0,0.0,standard_32768
A_benign,local_only,12,5,61.8,2.039607805437114,58,64,69.2,0.7483314773547882,68,70,170.4,4.029888335921977,165,177,69.2,0.7483314773547882,68,70,12.0,0.0,12,12,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,70.88333333333334,0.49933288829530664,70.28333333333335,71.48333333333333,0.0,0.0,0,0,4.141666666666667,1.530913942715267,2.5497222222222216,6.640000000000004,0.0,0.0,0.0,0.0,standard_32768
B_coordinated,ghost_meadow,12,5,74.8,1.16619037896906,73,76,77.0,1.7888543819998317,75,80,,,,,77.0,1.7888543819998317,75,80,0.0,0.0,0,0,0.0,0.0,0,0,12.0,0.0,12,12,208.8,2.4819347291981715,205,212,68833929.6,239437.36302724353,68462928,69111360,8386.2,29.17121869240296,8341,8420,5736160.8,19953.113585603627,5705244.0,5759280.0,44.888356526692704,0.15934080941978404,44.635772705078125,45.087687174479164,0.0,0.0,0,0,0.016358215361833576,0.01333353652130069,0.002685507449011008,0.04030990466061567,0.0,0.0,0.0,0.0,standard_32768
B_coordinated,local_only,12,5,62.2,1.4696938456699067,61,65,68.6,0.8,68,70,168.4,1.4966629547095764,166,170,68.6,0.8,68,70,0.0,0.0,0,0,12.0,0.0,12,12,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,72.78,0.2646591098837289,72.33333333333333,73.06666666666668,0.0,0.0,0,0,3.615611111111113,1.7117621182228329,1.2430555555555571,6.482222222222227,0.0,0.0,0.0,0.0,standard_32768
C_single_poison,ghost_meadow,12,5,76.2,1.4696938456699067,75,79,77.4,1.2,76,79,,,,,77.4,1.2,76,79,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,197.0,2.280350850198276,193,200,60776956.8,131620.08518824168,60624288,60981336,7402.8,18.988417522268676,7378,7436,5064746.4,10968.340432353474,5052024.0,5081778.0,44.219693270596586,0.17001096126474985,43.939208984375,44.42554820667613,0.0,0.0,0,0,0.03470520465827185,0.02286044233821146,0.004523610773165363,0.06426649152739973,0.0,0.0,0.0,0.0,standard_32768
C_single_poison,local_only,12,5,63.0,1.6733200530681511,60,65,68.8,1.5999999999999999,66,71,173.6,2.416609194718914,171,177,68.8,1.5999999999999999,66,71,11.0,0.0,11,11,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,71.36,0.7034648604709043,70.41818181818182,72.56363636363635,0.0,0.0,0,0,2.6087933884297523,1.2319947842498444,1.0062809917355366,4.10512396694215,0.0,0.0,0.0,0.0,standard_32768
